tmdb_id,title,original_title,description,release_year,image_url,external_rating_average,external_rating_count,runtime_minutes,director_names,actor_names
1064486,Мемуары улитки,Memoir of a Snail,"Австралия, 1970-е. В городе Кранберри живёт одинокая женщина по имени Грейс Пудл. Она любит читать любовные романы и коллекционировать декоративных улиток. Однажды в её жизни появляется Пинки — пожилая и эксцентричная женщина, с которой они становятся близкими подругами. С этого момента жизнь Грейс снова наполняется радостью и яркими красками.",2024,https://image.tmdb.org/t/p/w500/5tsnwOU1BX1v9ifpFgeVd7i0yMe.jpg,8.032,776,94,Адам Эллиот,"Сара Снук, Коди Смит-Макфи, Джеки Уивер, Magda Szubanski, Доминик Пинон, Tony Armstrong, Paul Capsis, Эрик Бана, Bernie Clifford, Davey Thompson"
94329,Рейд,Serbuan Maut,"Отряд спецназовцев получает задание проникнуть в многоэтажный дом, расположенный в самом сердце трущоб Джакарты, и арестовать обосновавшегося там наркобарона, которого охраняет целая армия вооруженных до зубов головорезов. Операцию нужно провести без лишнего шума, но нелепая случайность нарушает планы служителей закона. Теперь бойцам негде спрятаться и некуда бежать. Перед ними 30 этажей ада, где смертью грозит каждый неверный шаг. Война по правилам кончилась. Выживает сильнейший!",2012,https://image.tmdb.org/t/p/w500/owbpAPpgUGUmK2O0Ig9T6hbI6ED.jpg,7.4,3859,101,Гарет Эванс,"Ико Ювайс, Джо Таслим, Donny Alamsyah, Яян Рухьян, Pierre Gruno, Рэй Сахетапи, Tegar Satrya, Iang Darmawan, Eka 'Piranha' Rahmadia, Verdi Solaiman"
1427,Парфюмер: История одного убийцы,Perfume: The Story of a Murderer,"Жестокий, никогда не знавший любви, сирота Жан-Батист Гренуй настоящих успехов достиг лишь на одном поприще – среди парфюмеров ему никогда не было равных. По его духам сходит с ума весь высший свет, не подозревая о том, какой страшной ценой будет получен последний, идеальный аромат.",2006,https://image.tmdb.org/t/p/w500/wRgfIoaWjVuUdyNYa9EBIRjottd.jpg,7.363,5004,147,Том Тыквер,"Бен Уишоу, Алан Рикман, Rachel Hurd-Wood, Дастин Хоффман, Джон Хёрт, Каролина Херфурт, David Calder, Саймон Чендлер, Sian Thomas, Джессика Шварц"
1297842,Goat: Мечтай по-крупному,GOAT,"Козёл Уилл Харрис получает уникальный шанс стать профессионалом в звероболе, контактном виде спорта, где доминируют самые большие и сильные животные. Его новые партнёры по команде не в восторге от того, что в их составе оказалась такая мелочь, но Уилл намерен изменить спорт раз и навсегда.",2026,https://image.tmdb.org/t/p/w500/4WQ56hzt2M0coLGVMPwsoLzZZUE.jpg,8.109,702,100,Тайри Диллихей,"Калеб Маклафлин, Габриэль Юнион, Стефен Карри, Аарон Пьер, Никола Кохлан, Дэвид Харбор, Ник Кролл, Дженифер Льюис, Пэттон Освальд, Джелли Ролл"
8810,Безумный Макс 2: Воин дороги,Mad Max 2,"Катастрофа пострашнее ядерной войны постигла нашу цивилизацию. Энергетический кризис парализовал планету, за топливо теперь дерутся любыми средствами. Потому, что там, где бензин, — там жизнь… Одинокий Макс бороздит пустоши далёкой Австралии в поисках горючего. Наконец Макс находит станцию, превращённую в лагерь со складами горючего. Измученные люди как могут охраняют то, что им принадлежит. Но, в довершение всех бед, на лагерь нападают враги под предводительством некоего Гумундуса, садиста и душегуба. И тогда Макс вступает в схватку…",1981,https://image.tmdb.org/t/p/w500/5qS5Oay0pU6zZR7XYGSkmtM4rSr.jpg,7.387,4169,96,Джордж Миллер,"Мел Гибсон, Брюс Спенс, Майкл Престон, Макс Фиппс, Вернон Уэллс, Кьелль Нильссон, Эмиль Минти, Вирджиния Хей, Уильям Заппа, Арки Уайтели"
522,Эд Вуд,Ed Wood,"Фильм рассказывает истинную историю странной и пестрой жизни самой одиозной фигуры американского кино — Эда Вуда, признанного худшим режиссером за всю историю Голливуда!",1994,https://image.tmdb.org/t/p/w500/lNMBVzux2Fv0qLrG5WVFfm5W1PN.jpg,7.483,2513,127,Тим Бёртон,"Джонни Депп, Мартин Ландау, Сара Джессика Паркер, Патриша Аркетт, Джеффри Джонс, Джи Ди Спрэдлин, Винсент Д’Онофрио, Билл Мюррей, Майк Старр, Макс Казелла"
377,Кошмар на улице Вязов,A Nightmare on Elm Street,"Старшеклассников одной из школ Спрингвуда, преследует один и тот же кошмарный сон в котором за ними гонится и кромсает на куски изуродованный человек в шляпе и с ножами на своей перчатке. И тот, кого убили во сне — умирает в реальности… Оказывается много лет назад, герой сна — Фредди Крюгер был маньяком, совершившим несколько зверских убийств детей. Их родители, не дожидаясь суда, линчевали Фредди, спалив заживо в котельной. И теперь Фредди пришел отомстить…",1984,https://image.tmdb.org/t/p/w500/hIpbRqUph6nP5Akyy3n6ChmDV2X.jpg,7.345,5725,92,Уэс Крэйвен,"Джон Сэксон, Рони Блейкли, Хэзер Лэнгенкэмп, Аманда Уайсс, Хсу Гарсиа, Джонни Депп, Чарльз Флайшер, Джо Випп, Роберт Инглунд, Лин Шэй"
518068,С Богами: Последние 49 дней,신과함께-인과 연,"Бывший мстительный призрак Ким Су-хон предстаёт перед королём Подземного мира, и ангел смерти Кан-ним просит для него прохождение обычной процедуры — он уверен, что сможет убедить судей в невиновности своего подопечного. Король соглашается, но ставит условия: в течение 49 дней ангелы должны вознести душу старика Хо, чьё земное время давно истекло, и доказать невиновность Су-хона. Душу защищает Домовой, который мало того, что регулярно выписывает тумаков пришедшим за ней, так ещё и проявился перед дедом и его малолетним внуком и помогает им по хозяйству. При ближайшем знакомстве с Домовым ангелы выясняют, что тот помнит подробности их жизней и связь друг с другом тысячелетней давности.",2018,https://image.tmdb.org/t/p/w500/d1w3D6oMVjpiDBAsLraedyzkRnl.jpg,8.05,751,141,김용화,"Ха Чон У, Чжу Чжи Хун, Ким Хян Ки, Ма Дон Сок, 김동욱, Ли Джон-джэ, Чо Хан Чхоль, 임원희, 남일우, 정지훈"
11171,Загадочная кожа,Mysterious Skin,"Когда Брайану было восемь лет, он очнулся в погребе возле своего дома в Канзасе, у него шла кровь из носа, и он понятия не имел, как там оказался. После этого его жизнь стала другой — он боится темноты, мочится в постель, и ему снятся страшные сны.  Сейчас Брайану 18. Нилу тоже 18, и он жаждет любовных отношений, которые были у него с тренером малой лиги, когда ему было восемь лет. Когда молодые люди знакомятся, они начинают осознавать, что события, оказавшие на них самое сильное влияние в детстве, были не тем, чем казались…",2005,https://image.tmdb.org/t/p/w500/wgSwDqhl6Rt3cuSCwt5sNpPna3x.jpg,7.713,1279,105,Gregg Araki,"Джозеф Гордон-Левитт, Брэди Корбет, Мишель Трахтенберг, Jeffrey Licon, Мэри Линн Райскаб, Элизабет Шу, Lisa Long, Билл Сэйдж, Chase Ellison, George Webster"
16052,Селена,Selena,"Под техано не танцует только мертвый. Голос Селены поднимет зрителя с насиженного стула. Техано — стиль, популярный на юге США и в Мексике. Это заводная смесь поп-музыки и рока, польки, ритм-энд-блюза с латиноамериканскими мотивами. Селена Кинтанилья Перес — не менее заводная певица, заставившая всю Америку полюбить техано. Селена трагически погибла, когда ей было всего 23 года.",1997,https://image.tmdb.org/t/p/w500/j8xX3yBAFOayfSaImgLZPnAcdWz.jpg,7.7,1312,127,Gregory Nava,"Дженнифер Лопес, Jackie Guerra, Констанс Мари, Алекс Менесес, Джон Седа, Эдвард Джеймс Олмос, Джейкоб Варгас, Pete Astudillo, Rubén C. González, Ricky Vela"
394117,Проект «Флорида»,The Florida Project,"Это лето Муни и ее друзья не забудут. Каждый день они, переполненные энергией и пренебрежением к взрослым, носятся по волшебному миру одноэтажной Америки на подступах к Диснейленду. Помешать им могут только родители или строгий надзиратель.",2017,https://image.tmdb.org/t/p/w500/gSrqbWjIjq6yLhACr0H8cN6ATBL.jpg,7.432,3096,111,Шон Бэйкер,"Brooklynn Prince, Bria Vinaite, Уиллем Дефо, Christopher Rivera, Valeria Cotto, Mela Murder, Josie Olivo, Калеб Лэндри Джонс, Aiden Malik, Edward Pagan"
476292,Укрась прощальное утро цветами обещания,さよならの朝に約束の花をかざろう,"Красавица Макия — из рода бессмертных. На протяжении веков многие армии пытались захватить её народ, чтобы завладеть секретом вечной жизни. И вот теперь, когда город разрушен, девушка прячется в лесу. Здесь она встречает потерявшего родителей маленького мальчика Эриала и начинает о нём заботиться. Проходят годы, мальчик превращается в прекрасного юношу, и у беглецов возникают чувства друг к другу. Но Макия понимает, что Эриал — простой человек, а значит, он смертен.",2018,https://image.tmdb.org/t/p/w500/pszUBerTtwl6Ai55YSOfnpENt8j.jpg,8.1,703,115,Мари Окада,"Манака Ивами, Мию Ирино, Юки Сакурай, Аи Каяно, Юки Кадзи, Ёсимаса Хосоя, Рина Сато, Ёко Хикаса, Миюки Савасиро, Томокадзу Сугита"
239571,Лучшее во мне,The Best of Me,"История о двух бывших возлюбленных подростках. Никто из них не жил жизнью, которую они представляли и никто не может забыть страстную первую любовь, которая изменила всю жизнь. И вот обоих зовут на похороны их наставника, который когда-то дал им приют…",2014,https://image.tmdb.org/t/p/w500/cxFqLSy0YJ5x1UqvkWPOjdIBFq6.jpg,7.461,2696,117,Michael Hoffman,"Мишель Монахэн, Джеймс Марсден, Люк Брейси, Лиана Либерато, Джералд Макрэйни, Кэролайн Гудолл, Кларк Питерс, Себастьян Арселус, Jon Tenney, Sean Bridgers"
14784,Запределье,The Fall,"Головорез Черный бандит, сбежавший африканский раб Отта Бенга, индийский мудрец, итальянский революционер Луиджи и натуралист Чарльз Дарвин — герои сказки голливудского каскадера Роя, получившего травму после неудачного трюка на мосту. В лос-анджелесской больнице его фантазии слушает пятилетняя девочка Александрия. Но однажды Рой узнает, что возлюбленная предала его. Он больше не хочет жить и решает покончить с собой.",2006,https://image.tmdb.org/t/p/w500/7fy0tDJ1FBaiZ2wdn9CLy9ysO9M.jpg,7.629,1540,117,Tarsem Singh,"Ли Пейс, Justine Waddell, Daniel Caltagirone, Лео Билл, Шон Джилдер, Джулиан Блич, Marcus Wesley, Robin Smith, Jeetu Verma, Catinca Untaru"
1883,Малкольм Икс,Malcolm X,"Впечатляющая сага о чернокожем лидере Малкольме Иксе. Он начинал в Гарлеме как гангстер, погрязал в пороке, но попав в тюрьму, очистился от скверны под влиянием идей ислама. Очень детальный и достоверный показ всех перипетий жизни и борьбы Малкольма Икса с расизмом, коррупцией, беззаконием, предательством в стане единомышленников.",1992,https://image.tmdb.org/t/p/w500/y8cYk2mXbvjV9DVyQznHSNlS3Ir.jpg,7.552,1906,202,Спайк Ли,"Дензел Вашингтон, Анджела Бассетт, Альберт Холл, Al Freeman Jr., Делрой Линдо, Спайк Ли, Тереза Рэндл, Кейт Вернон, Lonette McKee, Tommy Hollis"
345938,Хижина,The Shack,"Мистические события происходят в судьбе главного героя, переживающего трагедию. Он получает личное приглашение встретиться с самим Всевышним в очень уединенном месте…",2017,https://image.tmdb.org/t/p/w500/4ODDOXvBAMp8RMEJmChgBV0mrp2.jpg,7.503,2250,132,Stuart Hazeldine,"Сэм Уортингтон, Октавия Спенсер, Тим Макгроу, אביב אלוש, すみれ, Рада Митчелл, Грэм Грин, Гейдж Манро, Меган Шарпантье, Лейн Эдвардс"
1830,Оружейный барон,Lord of War,"Родители Юрия и Виталия Орловых покинули Украину и обосновались в Америке: у них маленький ресторанчик на Брайтон-Бич. Дети же не стремятся идти по родительским стопам. Юрий начинает торговать оружием и с помощью брата быстро завоевывает свое место под солнцем. Но чем выше он поднимается, тем ближе к нему подбирается агент Интерпола.",2005,https://image.tmdb.org/t/p/w500/qHa7QPVn1VNYA8GezSaidJ1kS9H.jpg,7.347,5343,122,Эндрю Никкол,"Николас Кейдж, Бриджет Мойнэхэн, Джаред Лето, Итан Хоук, Имонн Уокер, Иэн Холм, Сэмми Ротиби, Танит Феникс, Shake Tukhmanyan, Jared Burke"
3131,Банды Нью-Йорка,Gangs of New York,"Нью-Йорк, 1863 год. В диких трущобах города «американской мечты» действует только один закон - закон силы. Здесь идет в ход любое оружие, никто не считает потерь и не оплакивает погибших. В одной из жестоких стычек от рук вожака «коренных американцев» - Мясника Билла погибает предводитель банды «ирландцев» Вэллон.",2002,https://image.tmdb.org/t/p/w500/8kV6Em9DvtjPyTpdHEVu4BPVm34.jpg,7.317,7225,167,Мартин Скорсезе,"Леонардо ДиКаприо, Дэниэл Дэй-Льюис, Кэмерон Диас, Джим Бродбент, Джон Си Райли, Генри Томас, Лиам Нисон, Брендан Глисон, Гари Льюис, Стивен Грэм"
1050035,Монстр,怪物,"Молодая вдова воспитывает сына Минато в одиночку. Мальчик учится в средних классах и почти ничего не рассказывает о школе, но его странное поведение настораживает женщину. А когда Минато приходит с повреждённым ухом, мать идёт разбираться в школу — всё указывает на то, что мальчика третирует учитель, но школьное руководство не торопится ничего предпринимать.",2023,https://image.tmdb.org/t/p/w500/9ruo9cqAECpV2k1eyQP0M1Og79Y.jpg,7.914,888,125,Хирокадзу Корээда,"Сакура Андо, 黒川想矢, 柊木陽太, 永山瑛太, Юко Танака, 高畑充希, 角田晃広, Сидо Накамура, 森岡龍, 黒田大輔"
516486,Грейхаунд,Greyhound,"В центре сюжета морской офицер Эрнст Краузе, который в разгар Второй мировой войны становится новым капитаном эсминца ВМС США «Грейхаунд», несмотря на то, что до этого он не принимал участия в военных действиях.",2020,https://image.tmdb.org/t/p/w500/nZ680Zng9AruelWFVNQtLcBXVez.jpg,7.415,3309,92,Аарон Шнайдер,"Том Хэнкс, Стивен Грэм, Роб Морган, Josh Wiggins, Tom Brittney, Элизабет Шу, Will Pullen, Мануэль Гарсия-Рульфо, Карл Глусман, Chet Hanks"
285,Пираты Карибского моря: На краю света,Pirates of the Caribbean: At World's End,"Лорд Беккет, с помощью Дэйви Джонса, безжалостно уничтожает пиратов. Джонс вынужден ему помогать, ведь его сердце находится в руках у Беккета. Тем временем Капитан Джек Воробей находится в ловушке на краю света. Уилл и Элизабет объединяются с самым заклятым врагом Джека - капитаном Барбоссой в одну команду. Вместе они отправляются в долгое и опасное путешествие на край света, чтобы освободить Джека, а потом найти способ остановить лорда Беккета и Дэйви Джонса.",2007,https://image.tmdb.org/t/p/w500/e69Ov9pCwR6OYQLcrvsodrCBWlc.jpg,7.271,15452,169,Гор Вербински,"Джонни Депп, Джеффри Раш, Орландо Блум, Кира Найтли, Джек Дэвенпорт, Билл Найи, Джонатан Прайс, Ли Аренберг, Маккензи Крук, Кевин МакНелли"
508947,Я Краснею,Turning Red,"Торонто, 2002 год. Активная и неунывающая 13-летняя Мэйлинь всеми силами пытается быть первой во всём, чтобы угодить строгой гиперопекающей матери. Семья девочки живёт при храме и поклоняется Богине-прародительнице. Одним прекрасным утром Мэйлинь просыпается и вместо привычного отражения в зеркале видит красную панду — теперь, когда она волнуется, злится или испытывает другие сильные эмоции, превращается в большого зверя.",2022,https://image.tmdb.org/t/p/w500/ft3eKr1ah85out6t6nAsZ1EAdUM.jpg,7.334,5846,100,Domee Shi,"Розали Чианг, Сандра О, Ава Морс, Hyein Park, Майтреи Рамакришнан, Орион Ли, Wai Ching Ho, Tristan Allerick Chen, Джеймс Хонг, Лори Тань Чинн"
984,Грязный Гарри,Dirty Harry,"Полицейский инспектор Гарри Каллахен пользуется дурной репутацией у своего высокого начальства из-за беспощадности в обращении с преступниками. Эта беспощадность имеет своё объяснение: преступники всё чаще уходят от ответственности.  Даже арестованные на месте преступления, они при попустительстве адвокатов, судей и полицейских чиновников добиваются смягчения наказаний, амнистий и т. п. И вновь выходят на свободу, чтобы сеять смерть. Каллахен, прозванный «Грязным Гарри», за то, что вынужден выполнять самую грязную и кровавую полицейскую работу, по мере сил старается действовать так, чтобы преступники не уходили от наказания…",1971,https://image.tmdb.org/t/p/w500/MQTccij4DooGDl64RQ5E1qpxmW.jpg,7.45,2736,102,Don Siegel,"Клинт Иствуд, Harry Guardino, Рени Сантони, Джон Вернон, Эндрю Робинсон, Джон Ларч, John Mitchum, Mae Mercer, Lyn Edgington, Ruth Kobart"
27670,Нам остается только плакать,Non ci resta che piangere,"Два молодых итальянца случайно попадают из двадцатого века в пятнадцатый. Здесь они разворачиваются с размахом и темпераментом — флиртуют, учат жизни государственных деятелей, игре в карты — Леонардо да Винчи, и вообще всячески пытаются нарушить пространственно-временной континуум. Главная же их цель — помешать Колумбу открыть Америку!",1984,https://image.tmdb.org/t/p/w500/bCaBf3GcNKxI6sEU0foxXiLaHGa.jpg,7.737,1186,112,"Massimo Troisi, Roberto Benigni","Massimo Troisi, Roberto Benigni, Amanda Sandrelli, Iris Peynado, Carlo Monni, Лидия Вентурини, Паоло Боначелли, Nicola Morelli, Elisabetta Pozzi, Fiorenzo Serra"
310569,Во сколько она вернётся?,Que Horas Ela Volta?,"Фильм повествует о домработнице Вал, которая, проработав многие годы в Сан-Паулу вдали от своей дочери Жессики, оставленной в штате Пернамбуку, наконец, имеет стабильную работу, но ее мучает совесть из-за расставания с семьей. В то же время она фактически стала второй матерью сыну своих работодателей, которого помогала растить как няня.",2015,https://image.tmdb.org/t/p/w500/6jfvTC15w2fksasPSTFvSthhfZY.jpg,8.033,781,114,Anna Muylaert,"Regina Casé, Camila Márdila, Karine Teles, Lourenço Mutarelli, Michel Joelsas, Helena Albergaria, Bete Dorgam, Luis Miranda, Theo Werneck, Luci Pereira"
265297,Соль земли,Le sel de la terre,"Себастьян Сальгадо — величайший фотограф современности. Ни одно событие не укрылось от его объектива. Взгляните на мир другими глазами! Откройте для себя завораживающую историю жизни, проникающую прямо в сердце.",2014,https://image.tmdb.org/t/p/w500/9JWBApBfK3PG7IRE6bpz57VX3MU.jpg,8.113,680,110,"Juliano Ribeiro Salgado, Вим Вендерс","Sebastião Salgado, Вим Вендерс, Juliano Ribeiro Salgado, Hugo Barbier, Lélia Wanick Salgado, Jacques Barthélémy, Régis Muller, João Pessoa Mattos, Leny Wanick Mattos, Maria Teresa Salgado Rocha Bastos"
