id,score
278,8.652080462764902
238,8.598132510615212
155,8.477532176610952
424,8.459505387282222
240,8.43753170645564
13,8.437107389324161
129,8.432165519735127
122,8.42886411865238
157336,8.428272441696206
680,8.422557055158224
497,8.411278912084384
496243,8.405931270335381
550,8.38143743649087
389,8.379729063062907
120,8.369665913132728
121,8.344733725093878
372058,8.338378093846197
769,8.330483927364352
27205,8.327289537862747
637,8.314441282573245
807,8.306878920286076
1891,8.298265442293138
324857,8.293141140850572
429,8.290028205670321
244786,8.272840380774094
510,8.265346430939442
539,8.259694326369406
687163,8.255987751519651
274,8.251765210006134
105,8.249246600142891
4935,8.237937316331362
598,8.227301155404001
423,8.213594922032595
73,8.198125350298499
101,8.194619711614989
12477,8.194176386170177
603,8.188304395526394
299536,8.185780486824381
77338,8.182931959360618
299534,8.178373165288534
207,8.173516568240958
8587,8.173045697804568
19404,8.167180360174862
16869,8.151982429037336
569094,8.151592362142226
98,8.15082631237601
128,8.147383717951795
11324,8.137744849647293
68718,8.135532545914593
11,8.135400537675524
857,8.133793997287782
354912,8.126341360053887
311,8.126196300771051
567,8.123576412774609
694,8.122574535519515
1124,8.120526139824408
11216,8.10952284711022
490132,8.105598948718324
28,8.100982918101444
346,8.09556289465583
324786,8.088650218366666
670,8.086551583177522
77,8.084566622655412
37165,8.079051334044893
348,8.078721208106666
475557,8.071369049640907
185,8.069543324084913
1184918,8.068540054913496
1422,8.067455433501465
378064,8.057807866486144
489,8.055718799789531
280,8.047666956087284
111,8.04401192243226
629,8.041507841872535
50014,8.041019997271237
10681,8.040288409398348
315162,8.040245573240206
361743,8.025871758894626
500,8.022133339743519
103,8.01842695756279
1007757,8.017026798128413
12445,8.01502674480832
38,8.012771880424745
335,8.009585704853187
146233,7.99716178609144
600,7.996160148055207
24428,7.996029693106035
1585,7.994379851010032
637920,7.992198106284169
398818,7.98172802061951
527641,7.979081482845402
106646,7.974565318569879
508442,7.971862122650198
3082,7.963409152857903
791373,7.963107797546054
693134,7.95659230464052
673,7.950272995845906
120467,7.943908732858787
406997,7.943162056370028
508965,7.934405483738289
359940,7.932949780159535
426,7.92785862209876
914,7.92014220801068
872585,7.9184642596390145
381284,7.91613711558265
635302,7.913863063944371
100,7.911827307944597
8392,7.911278329525945
205596,7.911080385387704
862,7.908810231820503
935,7.907269097690149
1091,7.906350976889394
24,7.903761750373711
4348,7.903525542113135
640,7.902420277316733
7345,7.902254090878442
14,7.899823726138279
14160,7.899676551240499
62,7.89646639575145
329,7.8960742265475234
641,7.89434019582675
10494,7.894101833128952
530915,7.89116039021571
290098,7.887575534710862
289,7.8863402496432045
424694,7.885344194467767
13223,7.878938398388426
696374,7.878935391659584
634649,7.876707705131769
975,7.866550467622371
359724,7.865396704496781
515001,7.864092824822579
264644,7.863197559094162
118340,7.862335624185858
334543,7.858561808619338
597,7.856580002568377
671,7.856362022680909
150540,7.85623844942515
6977,7.855415154660179
745,7.854093769596286
78,7.853992249826361
599,7.849600193843602
679,7.847643288166268
337404,7.846639125998628
627,7.839393932750743
28178,7.834480157119713
103663,7.833942808136814
197,7.833657547077858
70,7.833559334777026
85,7.832365917895986
411088,7.831214117763428
313369,7.829916480817681
76203,7.829196576855622
210577,7.828294409277603
1892,7.827327202428766
296096,7.826096279323955
752,7.821323283703665
194,7.821247825979377
406,7.8170713497174305
524,7.813945146608692
393,7.798327752962118
11423,7.796679874461808
400928,7.796415525878272
490,7.796102044773644
949,7.7919629229628145
11036,7.791891258824978
239,7.791732528442747
872,7.791572288137598
585,7.788794713010752
10674,7.787893432074876
265177,7.787706608324809
447365,7.787203689303889
449176,7.783054096837993
152532,7.782668289483393
15,7.779998701262034
122906,7.778707365955668
2062,7.777237512678901
10191,7.777026845680059
279,7.776406576923975
14836,7.775958987979131
1402,7.775034854188864
901,7.7731453585590975
22,7.7713186639953085
600354,7.771206788988623
10386,7.765966441184089
938,7.764813751808848
10376,7.764088010428011
263115,7.763013182251026
152601,7.7629975391488815
12,7.76246545882553
546554,7.758390227180003
1955,7.7543104584187095
284,7.7539345684675185
46738,7.75303601675532
110420,7.752739336480145
453,7.751213283810003
674,7.751104768104208
49026,7.748876353964447
89,7.747320840352479
115,7.745077091961503
316029,7.744321456322985
5156,7.741260316028775
843,7.740659254582094
615457,7.740459515807789
76,7.7328937256124615
266856,7.7295867663105495
10193,7.728356835378778
10515,7.728348765043929
582,7.727138726800687
275,7.724540411485872
19,7.724145009043387
334533,7.7238335159181375
9479,7.722564479127132
562,7.720940276962702
213,7.7186929857057445
531428,7.7186565541645935
107,7.711826176747711
149,7.711707378514209
11778,7.710838422910779
438631,7.706917336957845
84892,7.705576273366542
808,7.703366709030026
165,7.702150889172177
269149,7.699389123880732
823219,7.697192139619416
331482,7.695278509952658
555604,7.692185978650252
314365,7.690486671995405
33,7.690372815152035
5915,7.688985051619447
273248,7.685235053143831
81,7.684965142277871
43949,7.68399377371753
10098,7.683707122287187
141,7.68259743895883
447362,7.6813509991625635
12444,7.681151957256023
797,7.680970982184932
947,7.680894509170979
272,7.678501216389058
14574,7.677958661058843
1578,7.677610182837164
18491,7.676431294278209
235,7.673929126680777
1366,7.6739022943363775
422,7.6733187405607035
762975,7.6724219603635975
770,7.671425819205518
1417,7.670956239301621
7347,7.668979753643228
1398,7.668698134140415
906126,7.66779044288441
9806,7.667720153190142
508943,7.66377882148238
3175,7.66197254251518
9277,7.661152452177535
829,7.661062504232621
177572,7.660390684768394
387,7.660144757919381
672,7.6593230926701885
527774,7.658691838081557
606856,7.6569642493095715
399174,7.654330410344485
1018,7.6531271366237945
803796,7.652673843014665
10315,7.652395043713872
9323,7.650705024841128
286217,7.649815942354566
200727,7.649546640072389
25237,7.648377253789481
142,7.648016717728692
162,7.645588561094259
832,7.641798512792818
762,7.641446857895219
12405,7.639791513612375
521,7.638467547366647
59440,7.638384932838951
595,7.6375601566010625
724089,7.636896649699331
381341,7.632682105974803
767,7.630737950628488
31011,7.630425945578805
655,7.6303818153203045
548,7.630297385048151
396535,7.627237616429743
504253,7.626587406315574
517814,7.6260818811853115
587,7.625828202004397
613,7.62564839941533
9552,7.625169894958889
675,7.624122391855111
581,7.6240341304858354
1726,7.62387703548428
470044,7.62376230069235
45269,7.623734277533019
20453,7.6235056620885695
438695,7.622359741107119
25376,7.620927874384552
44214,7.620867729009079
2118,7.6185362325442725
568160,7.616154369893082
16859,7.614678963072376
242582,7.614172860355994
218,7.614125432579633
391,7.612751782795341
37257,7.611507385233792
380,7.610769391639066
96721,7.609981946193438
166428,7.609933109123636
322,7.609607313547436
996,7.608111469671451
14537,7.606956574918991
10020,7.606444975033435
503314,7.605398041063513
2108,7.605318229174059
100402,7.604214186660969
339877,7.603977515030559
1226863,7.602444372825545
1580,7.600579021087283
678512,7.600025170162091
265195,7.5999599942698755
458220,7.598638558752705
492188,7.598495542061533
149871,7.597394921812626
578,7.596368185410712
117,7.595925689089074
545611,7.594939510110787
40096,7.5941142359132625
293660,7.5939170472297075
805,7.5935297715463825
76341,7.592169609986336
82702,7.587319966266257
1087192,7.586733617600708
522924,7.584414317585141
603692,7.58314550618083
147,7.582806079334148
8358,7.582663394611789
665,7.581647214993264
618344,7.5803559940780625
414906,7.578846390982119
3782,7.57875397597777
19995,7.57656512651178
329865,7.576093789388227
137113,7.574927719157308
812,7.572869844022564
3034,7.571832869904824
419430,7.571105278152502
773,7.570605639890598
610150,7.568471253670121
283995,7.568228886072188
583,7.567394063751132
785084,7.566622931134011
207703,7.566337333499484
522402,7.56597343419078
1700,7.565291232069273
5925,7.564030797754373
968,7.562547109809264
501929,7.561521174226278
792,7.560870312342283
80,7.559030506289585
810693,7.558068588149769
12493,7.557819748376266
12429,7.557277217619306
6075,7.554922958510344
614,7.554844239995356
1607,7.5525353006042275
277216,7.550747284821901
9475,7.548288415958886
11621,7.547926095775653
911430,7.547664898084462
9702,7.547433619043973
863,7.54433691767931
11104,7.542633828186981
419478,7.542571938335527
439,7.542223013121516
1646,7.541656822682414
37797,7.540223489322944
284053,7.538894443973236
766507,7.538018222224768
38757,7.537343433196961
705,7.5370570289075145
14756,7.535950304978036
38286,7.535184410242055
10229,7.53433592848441
776503,7.534061027095971
335984,7.533165190440304
333339,7.532614455896869
11878,7.532421489018924
4922,7.531985903903788
22881,7.531668073532653
538362,7.531048868955389
83666,7.530984938722648
76600,7.5291677490431095
441130,7.527581492999078
137,7.527086933621854
522627,7.523125149936855
49046,7.522639063151149
149870,7.521213619843087
2493,7.520871791227514
11645,7.520235707173615
9800,7.519266110274029
502356,7.517896999700776
64690,7.517636335749488
703,7.517017143053212
152742,7.5151038282686295
1010581,7.514634349495756
57158,7.51451008740926
222935,7.514080235722977
264660,7.510106812967447
9023,7.5090280525595885
63,7.508805033192363
334,7.50681689540209
804,7.506450533875529
525,7.504532056431305
937278,7.504469206573195
508439,7.503547548558441
522518,7.5031535303359895
4977,7.5025604937319255
18,7.502251371406961
3933,7.501778321530569
277834,7.500407241569642
49797,7.4997197174259425
522212,7.499281291657276
369557,7.497807253421028
1026227,7.497416934499322
664767,7.497018860034251
281957,7.494431577078222
4951,7.4942330326806665
36557,7.493697711359059
1933,7.493454252488662
466282,7.4931424533920685
761053,7.492811108629326
962,7.490149713060595
242828,7.4894264585296035
616,7.488955244317619
9693,7.488590868180635
1579,7.488442762726835
1092,7.485606017274582
24238,7.485225854774911
18148,7.485066448861506
568124,7.483826499508243
11321,7.482235380181712
2011,7.481916100239836
792307,7.480240210017866
1084736,7.478764000151888
228150,7.4781955736302095
127585,7.477913512859351
1327819,7.47789234847066
1954,7.473796702461968
11005,7.4725804221938565
138843,7.471654248834963
533535,7.470462859599707
379170,7.469855727651653
592350,7.468966011354249
505192,7.466403749617285
15121,7.465822638852115
60243,7.46534124167224
826,7.463950810662794
1587,7.463948579123711
4638,7.463363418456195
398978,7.46316716584493
1242898,7.463138922158595
980489,7.462885592555999
7984,7.462427456143863
223,7.462342951905736
61979,7.461921891205131
106,7.461261685602788
110416,7.460199913485459
1372,7.458805137300497
2649,7.45811991555875
9444,7.45732260456773
262,7.457317091138101
183011,7.456701545639019
1949,7.456284165738177
399566,7.456016674297299
330459,7.455825518390349
4347,7.4554964833913
234,7.455312441456813
882569,7.454942222017213
205,7.454566873363364
4982,7.4542861052696034
698687,7.453614264748415
747,7.452476681985633
1304313,7.452048090023174
26022,7.450226128084235
630566,7.4494998918568225
482321,7.449155075771433
630,7.4480591365429465
383498,7.447761423618037
553,7.446843997988453
601,7.446828705070637
11688,7.446372383243534
782,7.446223670528746
1592,7.446220170972072
583083,7.445663828776141
11544,7.444326427470739
871,7.442656117364729
68,7.44115051010039
5924,7.440880205566085
637649,7.440041378352932
491480,7.438954701084877
255709,7.438125732808997
47931,7.437574401443217
16,7.4367867840688975
1218925,7.436544022956507
17431,7.4357905905761665
164558,7.434096209852103
382591,7.433158659315179
12104,7.432308979371009
414419,7.43162149998564
109424,7.4304485561568
58496,7.429973208392686
5528,7.429881423393434
948,7.426973121016711
332562,7.426883770319641
334541,7.4268558108878295
976573,7.426250161196084
426426,7.4259953174462225
1022789,7.42444131427219
196,7.423139953273958
164,7.4208309116736135
313297,7.420556696642013
916224,7.420437104259424
950396,7.419888190135362
14069,7.419237291088937
9377,7.419070281964337
3112,7.418852505191382
556984,7.4183108726928815
502033,7.4182769911248405
142061,7.417992369847889
566525,7.417977236919766
245891,7.417631799472887
705861,7.417623846591127
654,7.416478549087515
51739,7.416217955560843
37247,7.415736660128522
271110,7.414870755499752
315465,7.4141023239709165
381289,7.4138173188886665
580175,7.4137698863095425
1895,7.413758321705771
620,7.4133944182082265
696,7.4125604614140554
930094,7.411947685279092
306819,7.4117346147481795
59436,7.411575952282388
856,7.410739243352721
10774,7.410217995601806
4995,7.409974381899622
374720,7.407123396146067
1904,7.406826270521205
3580,7.404824954391684
2034,7.403247945187713
71,7.4031875408575125
793,7.402952764149929
771,7.402355059951797
9016,7.401214561157285
2501,7.400584561829557
819,7.400398654581153
1541,7.399325629694401
755812,7.397809812886481
110,7.397288047945592
161,7.397003809039637
339403,7.396810603079968
4553,7.395812546503784
8290,7.395657574450658
1368,7.395295156600296
260513,7.395266438393449
487558,7.395248663949602
11970,7.395169481285974
22538,7.394750598803605
615,7.393324024375181
17654,7.393193553899286
666,7.392393599841161
3090,7.391222962600984
9340,7.391158759954225
976893,7.391138238913344
7508,7.390897727163633
301528,7.390758898891489
433,7.390091111701908
10775,7.389991680105343
13398,7.38981482720295
283566,7.389516402636014
756999,7.389117921625037
404378,7.388918436766624
515042,7.388646580625928
10637,7.388171321607895
9421,7.3877121941126385
489999,7.3876961355404385
397567,7.3874344087915755
284052,7.387245884304435
101299,7.386446689877232
194662,7.384700620085212
593,7.384008231463558
437068,7.383989978569322
9366,7.383902718157747
688,7.383222545272204
3558,7.381647919382543
925,7.380334463511915
1062722,7.380220841088213
55,7.380044230615691
436969,7.379706480894584
342470,7.37968739810134
345,7.3782893251473665
187,7.3781876098033345
961,7.378160200352626
6844,7.377356598855734
666277,7.376388310841019
1084242,7.376345283702201
824,7.374465203877036
228205,7.37338572432352
550988,7.373293663456708
458156,7.37284058345469
466272,7.371428790817767
939243,7.371399255470993
8321,7.37098442639888
350,7.369960148190093
353081,7.3672741870425025
881,7.366592235926014
13363,7.366382146730727
667520,7.365875549967241
638507,7.365665942702577
114,7.365173587050703
309809,7.364257703617273
375262,7.363575003223351
1813,7.362788390826012
293863,7.361626691118217
13475,7.3605079553109185
246741,7.359391529080593
85350,7.3591352899217854
190859,7.358902450106713
9495,7.358181451303221
11474,7.357230702681122
500664,7.357136596116626
653,7.356814845034777
575264,7.35639036518592
87827,7.355690133094923
581528,7.355669225940683
244267,7.354481791954552
873,7.354053460828406
840430,7.353876271069915
429617,7.353816740124799
12163,7.353675438702477
7214,7.352671300407181
2503,7.351715156960242
389015,7.3511910760103225
1356039,7.350417213732881
891,7.349557472016227
571,7.34918589569894
176,7.348745411150127
86837,7.347354564629727
204,7.346585681377632
8681,7.346169082456413
447332,7.344879219653797
940721,7.344527033940562
1359,7.344231236687669
26451,7.34372545346505
614917,7.34362756329073
273481,7.343509926682391
550205,7.343452441640331
137106,7.343036686854076
503919,7.343015126207816
10331,7.342886712292793
488623,7.342873066974699
24188,7.34124710030003
40662,7.34084058127857
404,7.340537354118367
4232,7.339741695095217
537061,7.338582689972094
568,7.338016191308938
9509,7.338010070203085
49051,7.337576778165705
58,7.337345201409565
520763,7.337275802424971
765,7.336754308644173
371645,7.335514388216618
585511,7.3348486916944555
1233413,7.334570826930873
63311,7.333324541403833
180299,7.333061835616714
944401,7.333034871438402
203833,7.333030088319003
11010,7.3330193000294335
284054,7.332768873454806
5503,7.331927358299103
642,7.331756130010469
393559,7.330525897798654
6114,7.328552293037832
698948,7.328128740167617
963,7.32779855715589
335578,7.327718387179523
13310,7.3275913100689
340666,7.3270922471062665
180,7.326904745057285
425,7.326760350225995
11362,7.326616988755048
780,7.3259559272529255
303,7.325023473399984
123025,7.324193536064813
7857,7.3241585599236485
481848,7.322559249292219
726759,7.322184515082149
1022256,7.321299131670776
186,7.320716991196583
718930,7.320364097558521
3078,7.320316383550878
37799,7.320066838315747
431693,7.319815595643915
312221,7.319459923615904
395834,7.318634891952352
258480,7.318456641210929
804095,7.31844671538195
9428,7.317879528211049
242,7.31780265105129
1632,7.317754615437921
12102,7.3176683112440895
206487,7.31711845777615
71859,7.317002838791115
15472,7.316823723956648
588228,7.316732968713524
903,7.316553305532692
1396,7.316477951665152
691179,7.31631921433183
650,7.315742061884611
430424,7.315164357336693
83533,7.314398086620176
820,7.313919102906108
13855,7.313396490072611
319,7.31302789124344
405,7.313012532701604
786892,7.3126202553548465
851644,7.310595805180469
252,7.3102790428762
313106,7.310156759444189
307,7.3101103414530355
10242,7.309833381206677
724495,7.30955913612742
37135,7.309497228879355
915935,7.309355646246957
961323,7.309037912736721
451915,7.308786860620019
1480,7.308726739487989
11969,7.308548349747716
965150,7.308344700820935
686,7.307168587202839
179144,7.306602600015261
537116,7.306330281249404
144,7.305192535294922
82690,7.303988650833457
381288,7.303905718764417
315635,7.301764494878259
228326,7.3016604102706095
845,7.301642365222366
10950,7.3009757583544435
858024,7.300256144952892
11697,7.300098445786956
64682,7.2998694589408615
153,7.299489627993731
30018,7.298586022839765
318846,7.298540318721134
7735,7.298503916927493
388,7.29800429125699
821,7.297895677588554
20126,7.297731178072201
65754,7.296685424072374
9426,7.296652887710565
557,7.2964883830354985
360814,7.296468406192458
1280,7.295457587420878
579974,7.295390857534625
783,7.295341797151182
74308,7.2951753987171415
192,7.294933098092206
921,7.294046070492144
18785,7.294013466328846
99,7.293955418657303
81481,7.292868296308527
10734,7.292499945928411
193756,7.292358249519882
75656,7.291282944713719
4011,7.291113825430939
827,7.290869823993826
61791,7.2907660026432834
122917,7.290642346815434
491418,7.290312592736061
324552,7.290300978848507
855,7.288665871335414
614934,7.288180574187462
628,7.287923375546954
9470,7.287786436576939
13183,7.287660213143678
675353,7.287182507944321
69,7.286997080340677
301,7.286951131837185
786,7.286558017461869
169813,7.2864477354716835
20334,7.2859092593888475
505262,7.285590445792846
621,7.284952480494065
42269,7.2844889902802805
119450,7.284091919552882
81188,7.282991677539248
108,7.282025737930284
529203,7.281398837953876
1000837,7.281352164993729
492,7.2812363620367355
374473,7.280853740319705
14002,7.280663474435566
551332,7.279206760177926
594,7.278911062708108
638,7.278885614694647
3114,7.2788105799873355
22803,7.278040108900796
629542,7.277022676779466
293310,7.2763229596050145
259316,7.275990300885273
8055,7.275361128679747
237791,7.2746894086516924
50531,7.27433973090956
80278,7.27387760876172
895,7.273302491215809
10144,7.272956479253545
506574,7.272482285246346
376867,7.272222454568055
93,7.272064937880197
9502,7.270911853467912
71157,7.270502654450595
51828,7.2703783035494265
136,7.270358834309188
967,7.269656138467525
674324,7.268900514715007
11906,7.268854826865223
558,7.268701136348663
284293,7.26857144203303
809,7.268171890587077
308369,7.2669602137507905
24382,7.265968745203035
639,7.2657893308178485
184,7.265765502563471
247,7.265565702235142
3083,7.265100522024379
5511,7.264658469616814
84334,7.264616533173043
288,7.263829627606383
158999,7.263667755565516
1376434,7.26326805009655
113,7.263266092487469
20914,7.262575749008758
132344,7.262008459123204
19426,7.2616191278591815
336804,7.26146906982362
74643,7.260558329127439
853,7.26009918893039
51608,7.260062139608806
462,7.260011886714995
980477,7.259908856592304
682110,7.25946847600324
715931,7.259332802622895
338,7.259166876690254
146,7.258921629698562
54138,7.256777943274207
3777,7.256679356212091
227306,7.256086978699623
423108,7.2557965176527555
297,7.2557835201860135
307081,7.254980741693382
2502,7.254954663964658
682507,7.2545146862792125
49538,7.253709100237612
746,7.25341945200901
346648,7.253354107413218
370172,7.252892553337432
552178,7.252574238119205
283587,7.252008817128552
33320,7.251298270956509
178682,7.251031907941034
2898,7.250931050466465
8741,7.250881786773967
79,7.250201853487523
1330021,7.2501741043346914
451945,7.250006474740049
5548,7.249418427081503
4808,7.249165035673903
466420,7.2483075144919304
45317,7.247772971015009
36685,7.2470740550960455
99861,7.246647608621822
1633,7.246199434864116
617653,7.246194239278929
10867,7.246187098059509
87,7.245805393247894
9040,7.245256648893036
45612,7.24521913953047
399404,7.245142952915539
19913,7.2450036235485715
42229,7.244950946930597
234200,7.244844686089702
554596,7.244513372860517
596,7.244300730021706
483184,7.244263750363536
484468,7.24422298207687
652837,7.243365863561255
11978,7.243020194841518
37094,7.242480197093003
13466,7.241291843736596
1064486,7.24127339850479
94329,7.241053914165497
1427,7.240532987527536
1297842,7.240428360379918
8810,7.24011085471495
522,7.239549725797126
377,7.238403506263532
518068,7.237806862155716
11171,7.236869486257724
16052,7.236301088183907
394117,7.235701005898447
476292,7.23562152277308
239571,7.235611465439369
14784,7.234905776414643
1883,7.234052661415401
345938,7.233787332667098
1830,7.233657040260634
3131,7.233251724144329
1050035,7.232911222921008
516486,7.232389537369126
285,7.231926064739866
508947,7.230904577046499
984,7.230046402446345
27670,7.2298024005660215
310569,7.229795838770734
265297,7.2292469817937395
309,7.228463168741036
861,7.228201140562367
575452,7.228048295349497
572154,7.227854583817649
259693,7.2276807247938555
582014,7.227238908806638
28978,7.227196587264035
454626,7.226439277376694
156022,7.2259075652598455
10110,7.225870561053433
21575,7.225502970365083
17295,7.225479574533037
923,7.224753446744469
11220,7.224733859951872
4133,7.224477228456882
4550,7.224459203093042
37724,7.224058686959397
493922,7.223652940150187
11658,7.223450424432284
317442,7.22342867125305
116,7.2231392359002875
37472,7.222570356327056
244,7.222095974659195
840,7.222081492262653
615453,7.222032223509002
284427,7.22189724239579
1251,7.221685216956984
154,7.221626578399357
20352,7.221092022714697
68734,7.220868855933116
29259,7.2208422244253425
140607,7.220200100633073
838240,7.220138479949516
16804,7.2193391077570706
1669,7.219045736514068
1051,7.218861921555095
1061474,7.218807357039334
83389,7.2187605391062375
493529,7.218552169830385
614409,7.2179005043190365
22843,7.216157476880718
702,7.215901095836664
19908,7.215448172526679
9361,7.214744135166985
2899,7.214729637741865
109445,7.214667728503666
249164,7.214080614724936
425909,7.213412487486566
592,7.212879068377763
346364,7.212292069484494
966,7.212160662867839
626332,7.2110823633994405
16320,7.210744772951393
88,7.210604337851325
359156,7.210543171911408
50646,7.210411219160951
89708,7.21037688072802
5123,7.210226477877797
1265,7.210095845518644
400160,7.208668180626519
829280,7.208281931047641
336,7.208217035651304
586863,7.208167083007061
46838,7.208150422015894
420809,7.207868704914712
19542,7.20774959536527
658,7.207441523485318
4147,7.2071412246957856
387426,7.206781354645215
269,7.206467694352691
451048,7.206430558668156
722778,7.206248858722331
545609,7.205791093011326
292011,7.2057650191711
416144,7.204991707414051
44264,7.2049346916299255
901563,7.2048557801688204
11293,7.203897587888522
10633,7.203881227079737
417261,7.203816333661911
507089,7.203595612533655
1542,7.20347549525958
134,7.203028328451553
10404,7.202708300468011
840326,7.202462827955349
11712,7.2023817923541
82695,7.202307750824797
1054867,7.201800876200495
205587,7.2017564389315
615777,7.2014683466252345
579245,7.199693103474314
297222,7.199651460111806
7340,7.1994923887996185
70160,7.198586123899892
550776,7.198434601763518
10377,7.198325519613228
1058694,7.198277488731848
9559,7.197950403186642
504608,7.197397184135399
1645,7.197178541398542
1059,7.196937299469145
8844,7.196864210087123
10112,7.196406448327113
813,7.1962496768208455
644479,7.1962401102024005
1677,7.195647619365398
455714,7.1956181769015535
399579,7.1955001602592015
77016,7.1951897355133045
9325,7.195141456680944
60308,7.195135917443123
1572,7.194266896558593
8363,7.194242671240481
431580,7.1937500844596265
399055,7.1931792642062415
1491,7.1931061200481725
137182,7.192734879627123
2252,7.192451863180755
4476,7.192069852104162
9008,7.191744321738231
407806,7.191440223680453
486589,7.191439366133739
435129,7.1913960346842725
631,7.1909916867145265
533514,7.190904524930747
114150,7.190433106764333
11545,7.18988777049385
364433,7.1897008720359405
508883,7.189601566476732
697843,7.189372729506007
2756,7.189251844063031
4960,7.188863155446452
10778,7.188700560394424
391713,7.188166776456192
587792,7.187985618142233
814,7.187417228513009
11299,7.187411768422775
11886,7.1872196092046945
476299,7.187128268083604
338766,7.18665986688079
10238,7.186409487966552
509,7.186264483519984
941,7.185754233322398
348678,7.185554710146186
760774,7.185426042996895
1430,7.185345902360129
64,7.185344184334169
219,7.185123363395196
818647,7.185121449935553
607,7.1846414665953136
475,7.184435681966475
221,7.184304498568249
398924,7.184109178992214
11615,7.183856984740221
297762,7.182593356679275
9394,7.18248032472692
664280,7.1823430110367
6479,7.182237113361295
1523,7.181940524573238
529216,7.181720556915681
320007,7.181643387116516
530254,7.181618257641647
140823,7.181512150465323
25606,7.181160503868785
10843,7.18087241134196
794,7.180655066143284
1367,7.180311616030593
428493,7.179623596884778
10009,7.179602553272598
9837,7.179502665259898
29264,7.1791218648387
51497,7.179017561643938
21634,7.178861256672669
5961,7.178165513699149
643,7.177945388614461
330457,7.177805839434059
170,7.17771536805135
44639,7.177496541850123
12761,7.1772592562382
453395,7.177099408568507
4689,7.177074652740341
1923,7.1765260563173525
3116,7.176338282653608
756,7.176316014775786
1654,7.176127383903231
9665,7.176060823404535
4771,7.1758804681173425
290,7.175103159273171
2292,7.174956918275645
31442,7.174938373524261
576,7.174864247151094
11314,7.174854979399975
15383,7.174522916416855
8422,7.174203138123105
866,7.1740099608979895
109689,7.173745282648129
395991,7.173619100159848
446159,7.173000807501939
990,7.172554617617753
18438,7.172528756290946
400617,7.172020225996433
26317,7.1719027898957695
52629,7.171820050694494
41050,7.170879337314038
833,7.170879337314038
