tmdb_id,show_tmdb_id,season_number,title,original_title,description,release_year,image_url,air_date
29010,18347,2,Сезон 2,Сезон 2,"Практически каждая серия второго сезона юмористического сериала «Сообщество» – это пародия на отдельный фильм или целый жанр. Герои сериала окунутся в теорию заговора, на Хэллоуин будут сражаться с зомби, устроят день рождения в стиле «Криминального чтива», превратят пейнтбольный матч в настоящую военную драму, устроят «звездные войны» между колледжами, проведут турнир по американскому бильярду в древнегреческом стиле, построят гигантский город из одеял и даже превратятся в мультяшек. И все эти невероятные развлечения, помимо смеха и веселья, дают героям возможность понять себя и окружающих, что помогает каждому из них стать немного лучше.",2010,https://image.tmdb.org/t/p/w500/mEtYs64VmxFQUCyiJKQBd3pe93d.jpg,2010-09-23
29012,18347,3,Сезон 3,Сезон 3,The motley gang of eccentrics anchored by disbarred lawyer Jeff Winger is back for another season of learning in this sardonic comedy series.,2011,https://image.tmdb.org/t/p/w500/wqXho59xDpc7hWs0PySTCkmahyo.jpg,2011-09-22
29013,18347,4,Сезон 4,Сезон 4,"Greendale Community College continues to attract an odd assortment of intellectual ""seekers"" in the fourth season of this sardonic sitcom.",2013,https://image.tmdb.org/t/p/w500/4pGymQmzvIQ8vdzGoIXfi9v7b6U.jpg,2013-02-07
29014,18347,5,Сезон 5,Сезон 5,Attorney Jeff Winger and his wacky study group are assailed by new academic and life challenges in the fifth season of this mischievous sitcom.,2014,https://image.tmdb.org/t/p/w500/rdvRTyEENaItHUrtSjDdyVxmvad.jpg,2014-01-02
65085,18347,6,Сезон 6,Сезон 6,Greendale's best worst former study group learns lessons in life and the chemistry of weirdness as it graduates to a momentous ending. Maybe.,2015,https://image.tmdb.org/t/p/w500/4diKFFgxMbKgHvZfbjn50bWcxDH.jpg,2015-03-17
125790,90260,1,Сезон 1,Сезон 1,,2020,https://image.tmdb.org/t/p/w500/tEs8FyNRkTUvhTOmePkkykFgsRp.jpg,2020-02-26
73004,47,1,Сезон 1,Сезон 1,,1973,https://image.tmdb.org/t/p/w500/1oNnnaQq0N7cmv8y39XBrx377Ob.jpg,1973-02-26
90739,47,2,Сезон 2,Сезон 2,,1974,https://image.tmdb.org/t/p/w500/ex5w7nGrwu1xZIIOKUmlnWkhIJC.jpg,1974-01-07
90742,47,3,Сезон 3,Сезон 3,,1975,https://image.tmdb.org/t/p/w500/ujPrRriwGnWLaM8IUDaYSlcJjde.jpg,1975-01-06
90743,47,4,Сезон 4,Сезон 4,,1976,https://image.tmdb.org/t/p/w500/9gdiIaWYnSUgC2AWIxW8xjVi2QV.jpg,1976-01-05
90744,47,5,Сезон 5,Сезон 5,,1977,https://image.tmdb.org/t/p/w500/onULSLsBOeqNuxdZllTF5cReTQ.jpg,1977-01-31
90745,47,6,Сезон 6,Сезон 6,,1978,https://image.tmdb.org/t/p/w500/xVk9zpYjZgfobWc2MdttP4qvH1C.jpg,1978-03-06
90746,47,7,Сезон 7,Сезон 7,,1979,https://image.tmdb.org/t/p/w500/noOWsxW2GPDlPC66M69A8KCuc7c.jpg,1979-01-29
213811,135340,1,Сезон 1,Сезон 1,,2021,https://image.tmdb.org/t/p/w500/vh4yiY4JBkdqAznbyQ9keU2Y2dI.jpg,2021-11-05
54549,46195,1,Истории монстров,Истории монстров,"Однажды он шёл по школьной лестнице, а сверху на него упала девушка. Впрочем, падала она медленно, да и вес её оказался странным, всего несколько килограмм. Приготовившийся было к сильному удару, Коёми с лёгкостью ловит её на руки. Девушка оказалась одноклассницей Арараги, Хитаги Сэндзёгахарой, красивой, но, на первый взгляд, застенчивой и абсолютно нелюдимой — за три года совместной учёбы они ни разу не разговаривали. И это касается не только Коёми — последние годы девушка не общалась ни с кем. Характер у неё, как оказалось, вовсе не застенчивый, и, на свою беду, Арараги об этом вскоре узнаёт, ведь Хитаги совсем не хочет, чтобы кто-то узнал о её секрете. А секрет заключается в её весе, который украло божество веса, предстающее в образе огромного краба. Коёми признаётся, что в прошлом сам пострадал от нападения сверхъестественного существа и по итогу превратился в вампира, однако его знакомый, Мэмэ Осино, помог ему снова стать человеком. Возможно, Мэмэ сможет помочь и ей...",2009,https://image.tmdb.org/t/p/w500/qfyqDAuERlN2afs8f56or1jSALn.jpg,2009-07-03
54547,46195,2,Истории подделок,Истории подделок,"Жил-был старшеклассник Коёми Арараги, нормальный такой парень, бывший вампир. Пережить ему пришлось столько, что друзей-ровесников у Коёми не было, зато было много подруг. Правда, как на грех, все подруги оказалось прокляты богами или демонами, но с кем не бывает! Пользуясь новыми силами и связями в оккультном мире, Арараги сумел помочь своим девушкам, а с любимой по имени Хитаги Сэндзёгахара проклятие, кажется, удалось снять полностью (хотя в минуты слабости герой в этом очень сомневается!). И вроде бы все стало хорошо, живи себе, поживай, к экзаменам готовься...

Увы, в жизни так не бывает. Сначала пропал Мэмэ Осино, старый хиппи, он же гуру и духовный учитель. Потом до Коёми стали доходить слухи, что его младшие сестры Карэн и Цукихи, под влиянием братика объявившие себя «рыцарями правосудия» и даже заработавшие кличку «огненные сестры школы Цуга», слегка заигрались. Увы, по сравнению с такими фигурами, как Осино, да и сам Арараги, «огненные сестренки» – лишь подделки, пародия на серьезных специалистов. Имитируя бурную деятельность, Карэн и Цукихи среди фальшивок и иллюзий наткнулись на нечто серьезное и не очень дружелюбное. В итоге свои неприятности они получили, а брату опять расхлебывать!",2012,https://image.tmdb.org/t/p/w500/hbLt05yzOMhvV4OcQzmhciFr3Fh.jpg,2012-01-08
54546,46195,3,"Истории, сезон второй","Истории, сезон второй","То, о чем предупреждали провидцы, свершилось – Арараги-гарем окончательно сложился в серьезный женский коллектив, спаянный общей целью и высокой миссией! Второй сезон неповторимых «Историй» дает возможность лучше познакомиться с каждой из незаурядных девушек, окружающих «братца Коёми», ближе узнать их достоинства и недостатки и понять, почему одни неплохие вроде бы люди под грузом чувств и эмоций выпрямляются и становятся сильнее, а другие, увы, переступают роковую черту, из-за которой нет возврата.  Самому же главному герою с такой поддержкой можно расслабиться и заняться любимым делом (а что он любит, вы и так знаете). Вихрастый самурай может даже загулять в иных временах и пространствах - великолепная Хитаги, блистательная Цубаса и мудрая малышка Синобу сами разберутся, как с богами и демонами, так и между собой. При этом они, разумеется, сделают все, чтобы любимый господин и повелитель смог явиться в последний момент, рвануть на груди красную рубаху и спасти день. Парни – они же как дети, только дай катаной помахать!",2013,https://image.tmdb.org/t/p/w500/z0GPizkLzcx2pmyXJJQewg8EvhC.jpg,2013-07-07
71107,46195,4,История финала,История финала,"Школьная жизнь Коёми Арараги подходит к своему завершению. Однако остаётся ещё множество загадок и проблем, ждущих своего часа. Перед своим выпускным ему придётся решить множество вопросов. Как закончить школу и выжить? Кто такая эта странная Оги Осино? Что же такого произошло в средней школе, и почему его бывшая одноклассница Содати испытывает к Коёми такую жгучую ненависть? Чтобы увидеть своё будущее, Арараги придётся изрядно покопаться в своём прошлом.",2015,https://image.tmdb.org/t/p/w500/xn2mGKbYX2SniGoI6iDmi07CMB1.jpg,2015-10-04
400986,46195,5,Межсезонье и сезон монстров,Межсезонье и сезон монстров,"После окончания средней школы история Коёми Арараги подошла к концу. И, кажется, на этот раз всё завершилось окончательно.

Но что же насчёт девушек, которых он спас? Не волнуйтесь, их история ещё далека от завершения, и вы сможете насладиться ею летом!",2024,https://image.tmdb.org/t/p/w500/gUQPpTYCZ18JpCKVFRIX1j4l8s1.jpg,2024-07-06
813,253,1,Сезон 1,Сезон 1,,1966,https://image.tmdb.org/t/p/w500/cTXQJqgWyAiaMWpfsjkNVi5Eov9.jpg,1966-09-08
814,253,2,Сезон 2,Сезон 2,,1967,https://image.tmdb.org/t/p/w500/2X0AzpGtCU1OBEdTwYdzkQgkCu3.jpg,1967-09-14
815,253,3,Сезон 3,Сезон 3,,1968,https://image.tmdb.org/t/p/w500/rMy0icwqYxSiGci2t5qW3Rc1PjR.jpg,1968-09-20
323134,217800,1,Сезон 1,Сезон 1,"A struggling student becomes caregiver to a fading badminton star, and as his sight slips away, the two forge a bond tested by time and fate.",2023,https://image.tmdb.org/t/p/w500/jRXPOBIf0d3UDjmTUFVlRq1LeS7.jpg,2023-11-10
105244,80240,1,Сезон 1,Сезон 1,"Yeimy Montoya, a talented young woman, serves a wrongful sentence in a New York prison. Her only desire is to get out to take revenge against all those who destroyed her life. In the top of the list is Charly Flow, an acclaimed and famous singer of reggaeton who plagiarized the lyrics of her songs, played with her and sent her to jail. Yeimy must fake her death and change her identity. She will return as Tamy Andrade, a wealthy reggaeton producer, who puts an end to Charly Flow’s career.",2018,https://image.tmdb.org/t/p/w500/1aQnVxoBMDwVolKN79dMYLFQan.jpg,2018-06-12
192012,80240,2,Сезон 2,Сезон 2,"Yeimy faces new dangers that threaten her life and that of her family. The arrival of an enemy who knows her well and is after her, while Juancho, her partner, sees her producer lose ground to a mighty competitor who comes into the scene. Her world, and that of all the people she loves, is on shaky ground, while Charly Flow, from the shadows, does everything he can to recover his freedom. Yeimy's whole universe will be at stake when Charly reappears and gets together with his new allies to destroy her.",2021,https://image.tmdb.org/t/p/w500/marMIUOlZdDKh7CuVeor7QlvAMe.jpg,2021-04-26
439765,80240,3,Сезон 3,Сезон 3,,2026,https://image.tmdb.org/t/p/w500/gy1C27oQED7W9Mxeawj8wlV2HDh.jpg,2026-01-13
126957,90790,1,Сезон 1,Сезон 1,"Дэвид Аттенборо уже может считаться живой легендой телевидения. Этот исследователь создал массу потрясающих проектов, посвящённых нашему миру и его функционированию. В этот раз телеканал ВВС предлагает ещё одно увлекательнейшее документальное шоу, которое расскажет о современной Земле, такой, какую мы все её знаем. Семь миров — семь различных континентов, где сконцентрировались разные народы, где развернулись совершенно неповторимые ландшафты и крайне привлекательный живой мир",2019,https://image.tmdb.org/t/p/w500/zvgl0oLiDh3I5tcvngOpCiL6D7f.jpg,2019-10-27
311345,211684,1,Сезон 1,Сезон 1,"Following his departure from The Commonwealth, Daryl Dixon washes ashore in France, raising the ire of a splintered but growing autocratic movement centered in Paris and endangering a young boy at the heart of a benevolent religious movement.",2023,https://image.tmdb.org/t/p/w500/9aaBz07Z5UrPQjQkF0xolTp1Rze.jpg,2023-09-10
363691,211684,2,Сезон 2. Книга Кэрол,Сезон 2. Книга Кэрол,"Второй сезон расскажет о Дэрилле Диксоне и Кэрол Пелетье, которые оба противостоят старым демонам, в то время как она борется за то, чтобы найти своего друга, а он борется со своим решением остаться во Франции, вызывая напряжение в Гнезде. Кроме того, движение Жене набирает обороты, направляя Пувуара на курс жестокого столкновения с Союзом Надежды в борьбе за будущее Франции.",2024,https://image.tmdb.org/t/p/w500/q7A1w6ypfrx6DEMkiBJWfaolVHy.jpg,2024-09-29
426557,211684,3,Сезон 3,Сезон 3,"Season three follows Daryl Dixon and Carol Peletier as they continue their journey to somehow return home and to the ones they love. As they struggle to find their way back, the path takes them farther astray, leading them through distant lands with ever-changing and unfamiliar conditions as they witness the various effects of the Walker apocalypse.",2025,https://image.tmdb.org/t/p/w500/yGH6fzzF4ep166xNE15aD67XizP.jpg,2025-09-07
178505,117581,1,Сезон 1,Сезон 1,"Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy.",2021,https://image.tmdb.org/t/p/w500/rUPRDMVQGPh8y6SEN5h1iMv0Ghh.jpg,2021-02-23
316142,117581,2,Сезон 2,Сезон 2,New relationships and challenges await Georgia and Ginny as they navigate life in Wellsbury — until secrets from the past threaten everything.,2023,https://image.tmdb.org/t/p/w500/wUGDGhSYeSsiznLDki5g8kdwtdf.jpg,2023-01-05
440459,117581,3,Сезон 3,Сезон 3,"Georgia has just been arrested for murder during her wedding—ruining her fairy tale ending and putting the spotlight on the Millers like never before. It's always been Ginny and Georgia against the world, but the world has never come for them quite like this. Now, Ginny needs to see where she stands when push comes to shove—is the two of them against the world something Ginny really wants to sign up for?",2025,https://image.tmdb.org/t/p/w500/1yGNxmIfzr9UqKGxGoPF4P1AKbH.jpg,2025-06-04
478863,117581,4,Сезон 4,Сезон 4,,,,
146523,11721,1,Temporada 1,Temporada 1,,2006,https://image.tmdb.org/t/p/w500/8B75TXItfa2YpA3Lpbh6YluwJGy.jpg,2006-01-23
128937,91875,1,Сезон 1,Сезон 1,,2019,https://image.tmdb.org/t/p/w500/sp5BL7O4SnnTnXf9ECNrXbJQyqt.jpg,2019-09-23
168388,91875,2,Сезон 2,Сезон 2,,2021,https://image.tmdb.org/t/p/w500/1huPpms7f5MwBq37en8lOUnF1Zg.jpg,2021-01-12
173406,115194,1,Сезон 1,Сезон 1,"Документальный сериал «Идеальная планета» рассказывает о силе и хрупкости Земли. Уникальное исследование объясняет, как силы природы — погода, океанские течения, солнечная энергия и вулканы — формируют и поддерживают огромное разнообразие жизни на планете.",2021,https://image.tmdb.org/t/p/w500/8JJa4gduVytwpXQzFtZNibRA6S.jpg,2021-01-03
63937,61755,1,Сезон 1,Сезон 1,"Tomoko Kuroki is about as socially dysfunctional as it is possible for a first year high school girl to be. We start the story when she realizes she has attended high school for three months without even talking to anyone at all. Not all is lost, however, since she is irrepressibly optimistic about her chances to turn it around and live a fulfilling high school life.",2013,https://image.tmdb.org/t/p/w500/6G8p4hJjLIpfEDAn5FAtgvlNBbG.jpg,2013-07-09
